N,Data_Structure,Time_Insert,Time_Search,Time_Max,Time_Min,Time_Pred,Time_Succ,Time_Delete
1000,Unsorted_Array,0.000012,0.006812,0.006670,0.006533,0.011280,0.010721,0.000008
1000,Sorted_Array,0.001712,0.000084,0.000006,0.000005,0.000006,0.000006,0.003005
1000,SLL_Unsorted,0.000065,0.005780,0.004976,0.004753,0.010658,0.010961,0.001899
1000,SLL_Sorted,0.001250,0.000009,0.004370,0.000005,0.002921,0.000005,0.001904
1000,DLL_Unsorted,0.000072,0.005729,0.004696,0.004458,0.009846,0.009369,0.000042
1000,DLL_Sorted,0.001514,0.000007,0.000006,0.000006,0.000006,0.000005,0.000059
2000,Unsorted_Array,0.000014,0.022050,0.021131,0.021197,0.040661,0.040760,0.000013
2000,Sorted_Array,0.005837,0.000197,0.000010,0.000010,0.000010,0.000011,0.010796
2000,SLL_Unsorted,0.000098,0.018587,0.016631,0.016442,0.041479,0.042872,0.006696
2000,SLL_Sorted,0.004858,0.000009,0.023018,0.000009,0.013363,0.000010,0.011205
2000,DLL_Unsorted,0.000073,0.018468,0.016033,0.016281,0.039875,0.041095,0.000090
2000,DLL_Sorted,0.006365,0.000012,0.000010,0.000011,0.000011,0.000011,0.000120
4000,Unsorted_Array,0.000031,0.091638,0.086782,0.082894,0.167775,0.165454,0.000024
4000,Sorted_Array,0.021741,0.000367,0.000020,0.000018,0.000022,0.000018,0.042271
4000,SLL_Unsorted,0.000188,0.075012,0.062397,0.062029,0.165319,0.174939,0.027567
4000,SLL_Sorted,0.029912,0.000021,0.127545,0.000019,0.074534,0.000020,0.072522
4000,DLL_Unsorted,0.000121,0.071871,0.062936,0.066444,0.177370,0.156915,0.000142
4000,DLL_Sorted,0.032269,0.000020,0.000017,0.000017,0.000019,0.000019,0.000217
8000,Unsorted_Array,0.000076,0.331250,0.321113,0.320087,0.657390,0.675744,0.000050
8000,Sorted_Array,0.087533,0.000763,0.000039,0.000033,0.000034,0.000045,0.162229
8000,SLL_Unsorted,0.000296,0.282726,0.248049,0.253758,0.669333,0.707248,0.102088
8000,SLL_Sorted,0.136908,0.000036,0.561194,0.000034,0.347247,0.000040,0.339831
8000,DLL_Unsorted,0.000225,0.281277,0.244914,0.252510,0.672973,0.641549,0.000346
8000,DLL_Sorted,0.160672,0.000034,0.000030,0.000030,0.000033,0.000033,0.000389
10000,Unsorted_Array,0.000046,0.498855,0.505406,0.496599,1.026523,1.043026,0.000066
10000,Sorted_Array,0.141878,0.001126,0.000051,0.000044,0.000045,0.000047,0.258705
10000,SLL_Unsorted,0.000336,0.440458,0.394238,0.387558,1.049061,1.106269,0.171824
10000,SLL_Sorted,0.232749,0.000050,1.019733,0.000045,0.596955,0.000047,0.592413
10000,DLL_Unsorted,0.000301,0.437516,0.395387,0.390334,1.044060,0.962863,0.000436
10000,DLL_Sorted,0.267382,0.000054,0.000058,0.000044,0.000069,0.000067,0.000565
