# Array_Size 2-Way_Time(s) 3-Way_Time(s)
10000 0.001163 0.000941
20000 0.002487 0.002227
30000 0.003742 0.003343
40000 0.005195 0.004151
50000 0.006780 0.005371
60000 0.008113 0.006805
70000 0.009756 0.009178
80000 0.011523 0.008934
90000 0.012467 0.010554
100000 0.014178 0.011861
110000 0.015641 0.012656
120000 0.017184 0.013231
130000 0.018252 0.014515
140000 0.019821 0.016007
150000 0.021173 0.017279
160000 0.022933 0.018073
170000 0.024354 0.019596
180000 0.025838 0.021048
190000 0.027399 0.022518
200000 0.028860 0.023325
